"FC"	"ens"	"symbol"	"A.1.alpha"	"A.1.beta"	"A.1.gamma"	"A.2.alpha"	"A.2.beta"	"A.2.gamma"	"A.3.alpha"	"A.3.beta"	"A.3.gamma"	"B.1.alpha"	"B.1.beta"	"B.1.gamma"	"B.2.alpha"	"B.2.beta"	"B.2.gamma"	"B.3.alpha"	"B.3.beta"	"B.3.gamma"	"total_mean"	"log2FC"
"1624876_at"	0	"FBgn0262579"	"Ect4"	3.98463549205947	4.03973686663166	3.67871301107513	3.75052920507131	3.68612965306098	3.76081563791511	3.45058901059077	3.58713641459026	3.4163991135323	3.63271560194184	3.77848329776069	4.03732960612248	3.70297886563201	3.68027870751488	3.59058923591078	3.90443519567007	3.68859691024626	3.58933263954053	3.71996802582592	-0.02778396175695
"1639164_at"	0	"FBgn0031791"	"AANATL2"	4.93356749236711	4.81099532447028	5.08171644961791	4.6495692779943	4.68027165935224	4.88977837570067	4.64834755192719	5.10876332820767	5.05384637814103	4.95348334678646	5.07126575395429	5.11681125521512	5.04782130437116	4.92828335425209	4.91834205131702	4.84480594150012	4.92708841879841	4.75130507654053	4.91200346336187	-0.0780389627729772
"1632673_at"	0	"FBgn0036390"	"CG13738"	4.33876319370253	4.50105674225306	4.22587536804991	4.44225021024243	4.15956277198526	4.24829197314266	4.30656720926833	4.45401499250248	4.54521797238009	4.67474281619377	4.63775850491544	4.49329622199398	4.42035257325788	4.49333639961656	4.55988224050558	4.59060689157322	4.84122184103542	4.62628389503291	4.47550454542508	-0.235097883399779
"1640073_at"	0	"FBgn0036056"	"CG6709"	5.56503048687304	5.53574603647468	5.65733491270366	5.58664625811541	5.50614599807692	5.53892759902517	5.63608774002858	5.59517278720105	5.7483777460373	5.53334335942024	5.30905127157162	5.29689200131979	5.59130677124818	5.52836869324288	5.53956633350108	5.61666452663418	5.53069347273468	5.50396760363813	5.54551797765814	0.102179503469448
"1631100_at"	0	"FBgn0035610"	"Lkr"	2.71534354846842	2.89243860906914	2.81728469767401	2.81410948124285	2.75114876706404	2.77377907029879	2.84040198505584	2.76806057002534	2.75856483762799	2.94466302512596	3.1815658297561	2.75946112294803	2.72847888387018	2.87531355191173	2.81720069805265	2.78028510989665	3.29587904726624	2.82780773988256	2.85232147640203	-0.11994704913152
"1640741_at"	0	"FBgn0030806"	"CG13001"	2.65868623232119	2.8470048165974	2.64125903450256	2.77591889056998	2.90115223036575	3.0441220655338	2.66603100928484	2.75246131450802	2.90155493919168	2.72836942910425	2.88420370652662	2.87148816104035	2.72315401456482	2.79724779442245	2.86600345160978	2.68224512193872	2.72807287488248	2.82023834039384	2.79384519040881	0.00968529315465672
"1625433_at"	0	"FBgn0020908"	"Scp1"	3.4965910077643	3.5459681002199	3.21761058169009	3.43669701441052	3.53092470512621	3.48256972602393	3.35286897718563	3.41541852745376	3.41927572204422	3.36666109787486	3.64222152148755	3.38333372784066	3.3830784987445	3.3098416901548	3.21869601224703	3.56044592503198	3.57280627664598	3.60370905105509	3.4410398979445	-0.0158743821293212
"1640203_at"	0	"FBgn0051116"	"ClC-a"	5.54543041939629	5.59694697342149	5.82335199846875	5.6897482202035	5.69240537547495	5.67232644182289	5.67773827479461	5.80936570829768	5.70141332110001	5.84370951347702	5.86807618360588	5.65584360889444	6.05947050112637	5.9496118993449	5.87011944608831	5.89759198512267	5.80090517918842	5.86467250368397	5.77881819741734	-0.177919343061312
"1626462_at"	0	"FBgn0038626"	"CG7691"	3.68360817418614	3.72986490399133	3.72454687079206	3.90497648342364	3.64446021724576	3.71188160486013	3.74275046554544	3.87038596910357	3.71270127706052	3.63684649855392	3.5945475128892	3.5561693565935	3.70197394643953	3.74960281017566	3.84400879683481	4.02412050639816	3.88994938558413	3.52656501798742	3.7360533220925	0.0223769038613622
"1639625_at"	0	"FBgn0022027"	"Vps25"	2.98767109446296	3.386510032781	3.1667582401793	3.2329752856355	3.37700273739021	3.50858893164101	3.23369304136867	3.29970417743632	3.0747917803246	3.31016038505599	3.27184747872698	3.25529449184622	3.21371823735923	3.23112240262221	3.49674672722862	3.12020744362587	3.16642757739927	2.94938174308814	3.23792232267623	0.0280876482518932
"1625087_a_at"	0	"FBgn0052137"	"CG32137"	3.06859426299459	3.09177564697276	3.08574595625977	3.04528586902584	3.25236141072179	3.18127844602974	3.1567699068311	3.08240341751635	3.19697790885854	3.19788835652831	3.26864778456659	3.16265106249202	3.20811629898741	3.16717489673521	3.1561225849903	3.33020695598813	3.25257214843059	3.33251515179745	3.17983822587369	-0.101633601700614
"1641001_at"	0	"FBgn0039676"	"ppk20"	4.41933513567933	4.33784530416385	3.99781340998363	4.54350650105149	4.19660408693867	4.3809125608651	4.4254497164117	4.15422578755526	4.32357841151607	4.36638511183048	4.37181177395301	4.56263451556666	4.31449059792995	4.09037952068962	4.28006244567251	4.31093914876383	4.4128443837317	4.56433566662274	4.33628633771809	-0.0549569167328228
"1624625_a_at"	0	"FBgn0035581"	"Dnah3"	3.93925666721997	3.91916503599191	4.04599943654252	3.68280238764013	3.84140281501532	3.56490901345758	3.62251208217977	3.87104804014194	3.68435840801708	3.59177914381316	3.72349024223071	3.9312025786754	3.72468930548678	3.64115796177838	3.54802461180213	3.66120114393901	3.54189898396425	3.67022143974332	3.73361773875774	0.126420941641453
"1640513_a_at"	0	"FBgn0052150"	"meru"	3.49844407362221	3.39292719721223	3.28762766558329	3.3571988944132	3.49331866712413	3.60176450177497	3.50089989402891	3.60465373791025	3.39690225866604	3.39775594528208	3.54154544128103	3.55162307223461	3.40718198705909	3.48988705827647	3.56449994725426	3.59515207273538	3.37032203582227	3.47859070452351	3.473905286378	-0.0292023749037189
"1638823_at"	0	"FBgn0050259"	"CG30259"	5.17915570313852	4.97235441749864	5.17434751589567	5.19554813673428	4.94219149573663	5.11352914765641	5.1654976959503	5.19610299604214	5.02681994574754	5.13484566747639	5.23426406953317	5.13921055777096	5.12593900632391	5.16938018194507	5.41491377045396	5.11463846918486	5.30279633697373	5.20519588374038	5.15592949987792	-0.097292987666922
"1634879_at"	0	"FBgn0035711"	"CG8519"	3.63064466883928	4.00625622191299	3.82148613512163	3.68864167895644	3.98939820903215	3.8502729594588	4.25870606007086	3.48758947953075	4.15140432474651	3.7373196298131	3.86103202007648	4.11446747019679	3.92618439867503	3.89181813401668	3.77817273904251	3.78913026626273	4.00483667879503	3.85098402117908	3.87990806087371	-0.00772729115422477
"1636179_at"	0	"FBgn0051459"	"CG31459"	4.2269201502121	4.19872003744629	4.1735217630457	4.1244845550349	4.27277729046199	4.13884285953121	4.15721383418635	4.10894769278115	4.09727074847502	4.2150421392154	4.10042882725087	4.22421491106662	3.96950556051621	3.94794109975664	3.9649883597183	4.26922772347247	4.01332438484316	3.99947235879434	4.12238023865604	0.0882837296156334
"1633230_a_at"	0	"FBgn0036482"	"CG13457"	3.58474319596133	3.824882155211	3.57651596375109	3.71078810334565	3.48202162459524	3.74250257487202	3.61124704360645	3.76357571317284	3.68098073114859	3.42692757955638	3.58115876394133	3.64970833821548	3.79332816332625	3.75419690763871	3.61090121224614	3.92329228382306	3.84200180248525	3.54558574331468	3.67246432778953	-0.0166492987647855
"1628713_at"	0	"FBgn0052404"	"Cpr65Aw"	5.03845473938259	5.10963385406032	5.01875724395131	5.22052634687808	5.12979841894959	5.29678954316183	5.18281015349914	5.07151242236122	5.17851716296872	5.13720978477151	4.91785830104256	5.32320042758491	5.44358731809067	5.26164080040069	5.1618531859808	5.10219818896197	5.15930585016304	5.40993611002816	5.17575499179095	-0.0744433424235016
"1637309_a_at"	0	"FBgn0037817"	"Cyp12e1"	4.53514798271613	4.84049946262299	4.84362764039112	4.88515142227577	4.90942521153749	4.74375929669685	4.8857535044018	4.9427485458408	4.85037821327907	4.63518692254836	4.96589086521518	5.29523883348917	4.79039267153879	4.72556462645547	4.80833118420364	4.79563879722244	4.67239543538363	4.80672068103439	4.82954729426962	-0.00654097081433935
"1632399_at"	0	"FBgn0054007"	"CG34007"	3.41099958121299	3.17208077915671	3.25700355959773	3.34128108681561	3.10364830350821	2.9331767474502	3.17553675361659	3.04218837032943	2.94657726897934	3.34234517181897	3.09184535729492	3.24758980831357	3.02490735753268	3.11636219645968	3.09730976490882	3.1251458670039	3.21578617369464	3.22293911233618	3.15926240333501	-0.0113042620773944
"1627194_at"	0	"FBgn0002561"	"l(1)sc"	3.52660637001785	3.39293136746867	3.17995044382641	3.43558315264402	3.46075928849662	3.51296361006216	3.17462891651019	3.38008362761908	3.24187071470348	3.66643603793923	3.3888435608764	3.30051966364813	3.21294010734923	3.58396829800672	3.37543007066082	3.29993720442593	3.64438470211189	3.24431172848071	3.39011938138042	-0.0457104313500643
"1629911_at"	0	"FBgn0036014"	"CG3222"	3.83716522010892	3.70423635899114	3.76469901969956	3.63532660483957	3.71628930246668	3.76623453695907	3.66201843581896	4.02791387748227	3.76433610039863	3.74380992902498	3.79237304369177	3.85985099845207	3.81532979793909	3.79775041127402	3.60716931264534	3.76046664159802	3.734758435384	3.82468065400402	3.76746714893212	-0.00644108524983444
"1626771_at"	0	"FBgn0085443"	"spri"	4.09424419806843	4.06785672312085	4.03031636114828	3.99850499794781	3.83640649767465	3.89977495756401	3.9276457047495	3.84004084311781	3.78087294470279	3.59504922758809	3.80421936333729	3.99331341433431	3.98302401778291	4.14492330985555	3.81134922753357	4.09347627284211	3.86700248993064	3.89838124426287	3.92591121086453	0.0316582956251992
"1628061_at"	0	"FBgn0030616"	"RpL37a"	5.25193732414002	5.57541207811247	5.47410252017611	5.30916179375081	5.34961718251639	5.22190051598299	5.23325085352745	5.5284789589166	5.36559892242663	5.26700162958419	5.32758312955852	5.39765559395613	5.26868151779557	5.57504323310227	5.52806434197727	5.23177383193501	5.35539536083142	5.09329174700959	5.35299725196108	0.0294410848666109
"1625903_at"	0	"FBgn0037501"	"Ir84a"	4.38893446519828	4.33098942153919	4.22034732978178	4.31253463686988	4.44708035881111	4.36893903040087	4.46760395049362	4.31594606296847	4.2712653226642	4.37336797175947	4.54641965427909	4.37311061413709	4.14009304039131	4.41252140382527	4.51938948887975	4.47818778557361	4.53828273264844	4.43039569633653	4.38530049814211	-0.0764586454559062
"1637746_at"	0	"FBgn0037812"	"CG18545"	3.67503647097091	3.61778122299867	3.67590678126826	3.53965580772364	3.51493844357162	3.56339444882043	3.71368503158731	3.4963555642151	3.7646840317465	3.55585744631719	3.38825653138481	3.62953180560126	3.57798848282532	3.66210565887517	3.45285929289629	3.50832464940975	3.84374167432421	3.39444991591184	3.58747518113602	0.0609247050396222
"1632368_at"	0	"FBgn0037463"	"djl"	2.75501243625945	2.52564541656484	2.72148008471962	2.55227662055662	2.72609668916771	2.61282533760501	2.528058449385	2.7865741032135	2.58764734922166	2.52377336904576	2.84174387579837	2.69287212095855	2.71265989194699	2.7468277178538	2.65055464649303	2.6006534459369	2.73661146654649	3.04381772021274	2.68584059674922	-0.0837664186776914
"1636169_at"	0	"FBgn0259242"	"CG42340"	4.36416357392221	4.47211276420551	4.1938303907372	4.19622712825544	4.34419924192538	4.32031311800194	4.37560295725095	4.18924733427608	4.16033952591469	4.33861245850167	4.48403264652273	4.26113590718415	4.3672050108214	4.15967232182602	4.07301203778727	4.30318556976936	4.35536422552646	4.5971587195863	4.30863416288971	-0.0359269847817734
"1631682_at"	0	"FBgn0003900"	"twi"	4.43020863542416	4.64156119787033	4.4860377796142	4.55260297661378	4.61021865885706	4.56808471023725	4.51173348024337	4.61171879014278	4.58569670448084	4.69405231174163	4.50765615021812	4.45113549267381	4.35026418829267	4.69021909153318	4.74131739239265	4.5923763780444	4.61392729614723	4.57618762840602	4.56749993682964	-0.0243636662184379
"1625288_at"	0	"FBgn0053177"	"CG33177"	5.46153081291902	5.37436039559762	5.40705620498469	5.40520577632351	5.45258661793524	5.54044563492753	5.55026838307283	5.16865349161396	5.46042847819174	5.53275801834208	5.5003819659519	5.48369300032162	5.32801295403162	5.37133959245884	5.47205293773164	5.33493253980134	5.31656330283358	5.69374492409769	5.43633416839647	-0.0236603822226851
"1628642_at"	0	"FBgn0261705"	"CG42741"	3.6197161285476	3.71834099349597	3.48293642987764	3.5891641955429	3.4164149875693	3.42935233068622	3.54457417701344	3.48780538196037	3.22937488512156	3.17392535236724	3.32691654558981	3.42180013875633	3.35619353421204	3.36106511697887	3.32519991442585	3.48887642713655	3.28290554694394	3.4284130186855	3.42683195027284	0.150264879413208
"1633869_at"	0	"FBgn0000439"	"Dfd"	3.20922543183806	3.690363591991	3.24435177710247	3.27960558448168	3.39714907859026	3.42008767409423	3.35576978012605	3.31297112207618	3.37372628027381	3.42152269533115	3.35490606917047	3.3797664628182	3.19967189600126	3.43253416907984	3.33537422250173	3.32500476687637	3.78658875847767	3.42808760555924	3.38592816479943	-0.0422451472491323
"1623947_at"	0	"FBgn0041237"	"Gr58c"	3.30963648693722	3.05580255685167	3.22991688754251	3.1889552859863	3.45659729305165	3.14826375727124	3.16368031805556	3.22532747522295	3.21552884255934	3.38361955144655	3.28572164473363	3.03897674051591	3.26020704389999	3.3703164829156	3.15983126216783	3.29895634700952	3.3392307383612	3.37357399385924	3.25023015046599	-0.0574138779367814
